product,feature_id,category,feature_dir,doc_name,has_task_example,has_operation_steps,has_operation_flow,doc_path
UNC,WSFD-205101,组网功能,WSFD-205101 支持Routing Behind MS/实现原理,EPC业务流程_76458442,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-205101 支持Routing Behind MS\实现原理\EPC业务流程_76458442.md
UNC,WSFD-205101,组网功能,WSFD-205101 支持Routing Behind MS/实现原理,GPRS_UMTS业务流程_76458441,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-205101 支持Routing Behind MS\实现原理\GPRS_UMTS业务流程_76458441.md
UNC,WSFD-205001,网关选择功能,WSFD-205001 网关路由选择功能,WSFD-205001 网关路由选择功能参考信息_70040602,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205001 网关路由选择功能\WSFD-205001 网关路由选择功能参考信息_70040602.md
UNC,WSFD-205001,网关选择功能,WSFD-205001 网关路由选择功能,实现原理_70040601,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205001 网关路由选择功能\实现原理_70040601.md
UNC,WSFD-205001,网关选择功能,WSFD-205001 网关路由选择功能,激活网关路由选择功能特性_63535124,True,True,True,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205001 网关路由选择功能\激活网关路由选择功能特性_63535124.md
UNC,WSFD-205001,网关选择功能,WSFD-205001 网关路由选择功能,特性概述_70040580,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205001 网关路由选择功能\特性概述_70040580.md
UNC,WSFD-205001,网关选择功能,WSFD-205001 网关路由选择功能,调测网关路由选择功能特性_72585766,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205001 网关路由选择功能\调测网关路由选择功能特性_72585766.md
UNC,WSFD-205002,网关选择功能,WSFD-205002 基于计费属性选择网关,WSFD-205002 基于计费属性选择网关参考信息_92137772,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205002 基于计费属性选择网关\WSFD-205002 基于计费属性选择网关参考信息_92137772.md
UNC,WSFD-205002,网关选择功能,WSFD-205002 基于计费属性选择网关,激活基于计费属性选择网关_91473807,True,True,True,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205002 基于计费属性选择网关\激活基于计费属性选择网关_91473807.md
UNC,WSFD-205002,网关选择功能,WSFD-205002 基于计费属性选择网关,特性概述_92137769,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\网关选择功能\WSFD-205002 基于计费属性选择网关\特性概述_92137769.md
